id,name,price,currency,image_url,in_stock,source_page,product_url
Sandslash,Sandslash,155.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/028-350x350.png,True,2,https://scrapeme.live/shop/Sandslash/
Nidorina,Nidorina,28.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/030-350x350.png,True,2,https://scrapeme.live/shop/Nidorina/
Nidoqueen,Nidoqueen,106.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/031-350x350.png,True,2,https://scrapeme.live/shop/Nidoqueen/
Nidorino,Nidorino,179.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/033-350x350.png,True,2,https://scrapeme.live/shop/Nidorino/
Nidoking,Nidoking,31.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/034-350x350.png,True,2,https://scrapeme.live/shop/Nidoking/
Clefairy,Clefairy,160.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/035-350x350.png,True,3,https://scrapeme.live/shop/Clefairy/
Clefable,Clefable,188.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/036-350x350.png,True,3,https://scrapeme.live/shop/Clefable/
Vulpix,Vulpix,85.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/037-350x350.png,True,3,https://scrapeme.live/shop/Vulpix/
Ninetales,Ninetales,52.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/038-350x350.png,True,3,https://scrapeme.live/shop/Ninetales/
Jigglypuff,Jigglypuff,61.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/039-350x350.png,True,3,https://scrapeme.live/shop/Jigglypuff/
Wigglytuff,Wigglytuff,130.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/040-350x350.png,True,3,https://scrapeme.live/shop/Wigglytuff/
Zubat,Zubat,125.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/041-350x350.png,True,3,https://scrapeme.live/shop/Zubat/
Golbat,Golbat,136.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/042-350x350.png,True,3,https://scrapeme.live/shop/Golbat/
Oddish,Oddish,45.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/043-350x350.png,True,3,https://scrapeme.live/shop/Oddish/
Gloom,Gloom,178.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/044-350x350.png,True,3,https://scrapeme.live/shop/Gloom/
Vileplume,Vileplume,170.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/045-350x350.png,True,3,https://scrapeme.live/shop/Vileplume/
Paras,Paras,168.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/046-350x350.png,True,3,https://scrapeme.live/shop/Paras/
Parasect,Parasect,27.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/047-350x350.png,True,3,https://scrapeme.live/shop/Parasect/
Venonat,Venonat,158.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/048-350x350.png,True,3,https://scrapeme.live/shop/Venonat/
Venomoth,Venomoth,53.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/049-350x350.png,True,3,https://scrapeme.live/shop/Venomoth/
Diglett,Diglett,122.0,GBP,https://scrapeme.live/wp-content/uploads/2018/08/050-350x350.png,True,3,https://scrapeme.live/shop/Diglett/
